,word,count
0,jan,12895
1,pfizer,12216
2,bnt,9592
3,dec,7108
4,biontech,6365
5,contactable,6242
6,mrna,5621
7,feb,5437
8,moderna,3150
9,benadryl,2934
10,tylenol,2255
11,immunisation,1970
12,healthcare,1308
13,ibuprofen,1189
14,planned,1159
15,prednisone,857
16,monday,729
17,saturday,726
18,friday,720
19,sunday,709
20,legs,704
21,pcp,677
22,hr,612
23,approx,612
24,diphenhydramine,608
25,epi,593
26,eua,586
27,inc,571
28,hcp,570
29,january,544
30,thursday,486
31,wednesday,476
32,ekg,472
33,reporting,460
34,tuesday,437
35,mri,430
36,symptoms,420
37,pcr,415
38,ems,399
39,february,394
40,pepcid,389
41,sars,381
42,cov,374
43,advil,364
44,reported,357
45,refers,352
46,hrs,352
47,acetaminophen,352
48,denies,337
49,levothyroxine,328
50,nauseavomiting,326
51,med,326
52,okay,325
53,paracetamol,285
54,zyrtec,282
55,famotidine,282
56,motrin,277
57,developed,264
58,angioedema,264
59,icu,262
60,bpm,262
61,albuterol,259
62,epipen,258
63,monitoring,255
64,noticed,253
65,shingrix,251
66,recovered,240
67,baseline,231
68,zofran,227
69,uti,226
70,zostavax,225
71,atorvastatin,222
72,afib,219
73,paramedic,218
74,pre,216
75,otc,214
76,cpr,213
77,nov,212
78,lisinopril,212
79,lasted,209
80,pas,208
81,metoprolol,206
82,fahrenheit,202
83,spo,199
84,benedryl,194
85,solumedrol,191
86,autoimmune,189
87,cetirizine,182
88,december,180
89,copd,179
90,losartan,175
91,hydrocortisone,175
92,sulfate,174
93,metformin,169
94,omeprazole,167
95,amlodipine,165
96,acetylsalicylic,163
97,colecalciferol,158
98,medrol,157
99,claritin,157
100,troponin,155
101,htn,155
102,receiving,151
103,etc,151
104,eliquis,150
105,prescribed,149
106,oct,148
107,ndc,148
108,scheduled,147
109,dvt,142
110,dexamethasone,141
111,exp,139
112,diagnosed,139
113,achiness,139
114,hypoxia,138
115,ultrasound,137
116,nos,136
117,increased,135
118,multivitamin,134
119,headedness,133
120,flushed,131
121,hydrochlorothiazide,129
122,myalgias,126
123,gabapentin,126
124,synthroid,125
125,methylprednisolone,124
126,earlier,123
127,closing,122
128,mellitus,120
129,emt,120
130,hospitalized,119
131,barre,119
132,labs,118
133,apr,117
134,amoxicillin,116
135,treated,114
136,tia,113
137,vit,111
138,wheelchair,108
139,vasovagal,108
140,started,108
141,cdc,108
142,observed,107
143,nauseated,107
144,naproxen,107
145,apixaban,107
146,workup,106
147,guillain,106
148,aleve,105
149,lips,104
150,heard,104
151,urticariapruritus,102
152,rosuvastatin,102
153,mcg,101
154,cbc,101
155,caregiver,101
156,improved,100
157,discharged,98
158,rehab,97
159,ent,97
160,recommended,96
161,meddra,95
162,vaers,94
163,sertraline,94
164,others,94
165,itp,93
166,gerd,93
167,tachycardic,92
168,janssen,91
169,cva,91
170,website,90
171,montelukast,90
172,sep,88
173,fluticasone,88
174,keflex,87
175,prn,86
176,mom,85
177,november,84
178,coronavirus,84
179,bupropion,84
180,wnl,83
181,vaccinated,83
182,prolonged,83
183,ivig,83
184,wanted,82
185,vax,80
186,nsaid,80
187,jun,79
188,chf,79
189,bicep,79
190,appt,79
191,wbc,78
192,valtrex,78
193,decadron,78
194,bactrim,78
195,azithromycin,78
196,allegra,78
197,hypoxic,77
198,headaches,77
199,cyanocobalamin,76
200,abd,76
201,escitalopram,75
202,echocardiogram,75
203,cxr,75
204,thru,74
205,solu,74
206,pruritis,74
207,petechia,74
208,fibromyalgia,74
209,ergocalciferol,74
210,bodyaches,74
211,parkinson,73
212,neuro,73
213,excluded,73
214,administered,73
215,skinrash,72
216,max,71
217,ethinylestradiol,71
218,mod,70
219,loratadine,70
220,episodes,70
221,doxycycline,70
222,meclizine,68
223,degrees,68
224,xray,65
225,wellbutrin,65
226,recieved,65
227,decreased,65
228,christmas,65
229,recovering,64
230,cta,64
231,ativan,64
232,anymore,64
233,simvastatin,62
234,salbutamol,62
235,oxycodone,62
236,onsite,62
237,localized,62
238,hydroxyzine,62
239,aug,62
240,valacyclovir,61
241,pantoprazole,61
242,monoclonal,61
243,gsk,61
244,acyclovir,61
