,word,count
0,patient,57759
1,covid,34485
2,vaccine,34112
3,report,28273
4,receive,23899
5,dose,22585
6,event,20772
7,day,19007
8,arm,17700
9,pain,15835
10,injection,12977
11,take,11639
12,headache,11574
13,first,11305
14,unknown,11183
15,lot,10842
16,vaccination,10591
17,unspecified,10350
18,leave,10288
19,get,10162
20,fever,9773
21,hour,9736
22,medication,9594
23,include,9442
24,medical,9373
25,history,9262
26,number,9258
27,site,9209
28,test,9197
29,date,8912
30,year,8695
31,start,8194
32,chill,8160
33,outcome,8131
34,information,7817
35,symptom,7762
36,spontaneous,7649
37,experience,7592
38,go,7575
39,concomitant,7538
40,old,7456
41,administration,6983
42,felt,6954
43,body,6933
44,ache,6930
45,swell,6800
46,feel,6484
47,single,6462
48,right,6452
49,second,6327
50,via,6115
51,like,6072
52,fatigue,6026
53,week,5900
54,time,5710
55,prior,5675
56,female,5615
57,route,5286
58,nausea,5262
59,positive,5042
60,state,4994
61,minute,4925
62,give,4912
63,rash,4821
64,recover,4817
65,treatment,4762
66,back,4761
67,immunization,4716
68,provide,4665
69,severe,4637
70,side,4590
71,blood,4565
72,also,4550
73,consumer,4540
74,still,4515
75,sore,4514
76,batch,4414
77,well,4366
78,hospital,4283
79,follow,4229
80,chest,4228
81,reaction,4057
82,within,3994
83,around,3979
84,two,3919
85,red,3911
86,muscle,3855
87,last,3807
88,heart,3790
89,product,3705
90,throat,3669
91,reporter,3635
92,develop,3587
93,shot,3466
94,know,3439
95,age,3415
96,comment,3372
97,say,3362
98,pressure,3354
99,resolve,3319
100,since,3291
101,request,3210
102,night,3150
103,call,3123
104,concern,3111
105,allergy,3062
106,morning,3053
107,neck,3034
108,itch,3011
109,administer,2984
110,area,2962
111,later,2938
112,adverse,2932
113,dizziness,2921
114,next,2918
115,low,2906
116,work,2905
117,redness,2873
118,response,2854
119,bad,2806
120,home,2783
121,nurse,2755
122,face,2748
123,post,2737
124,begin,2690
125,eye,2660
126,result,2648
127,part,2595
128,mild,2588
129,action,2575
130,soreness,2536
131,infection,2522
132,diagnose,2510
133,head,2496
134,safety,2461
135,use,2454
136,continue,2444
